FID	IID	pop	super_pop
YRI_001	YRI_001	YRI	AFR
YRI_002	YRI_002	YRI	AFR
YRI_003	YRI_003	YRI	AFR
YRI_004	YRI_004	YRI	AFR
YRI_005	YRI_005	YRI	AFR
YRI_006	YRI_006	YRI	AFR
YRI_007	YRI_007	YRI	AFR
YRI_008	YRI_008	YRI	AFR
YRI_009	YRI_009	YRI	AFR
YRI_010	YRI_010	YRI	AFR
YRI_011	YRI_011	YRI	AFR
YRI_012	YRI_012	YRI	AFR
YRI_013	YRI_013	YRI	AFR
YRI_014	YRI_014	YRI	AFR
YRI_015	YRI_015	YRI	AFR
YRI_016	YRI_016	YRI	AFR
YRI_017	YRI_017	YRI	AFR
YRI_018	YRI_018	YRI	AFR
YRI_019	YRI_019	YRI	AFR
YRI_020	YRI_020	YRI	AFR
YRI_021	YRI_021	YRI	AFR
YRI_022	YRI_022	YRI	AFR
YRI_023	YRI_023	YRI	AFR
YRI_024	YRI_024	YRI	AFR
YRI_025	YRI_025	YRI	AFR
ESN_001	ESN_001	ESN	AFR
ESN_002	ESN_002	ESN	AFR
ESN_003	ESN_003	ESN	AFR
ESN_004	ESN_004	ESN	AFR
ESN_005	ESN_005	ESN	AFR
ESN_006	ESN_006	ESN	AFR
ESN_007	ESN_007	ESN	AFR
ESN_008	ESN_008	ESN	AFR
ESN_009	ESN_009	ESN	AFR
ESN_010	ESN_010	ESN	AFR
ESN_011	ESN_011	ESN	AFR
ESN_012	ESN_012	ESN	AFR
ESN_013	ESN_013	ESN	AFR
ESN_014	ESN_014	ESN	AFR
ESN_015	ESN_015	ESN	AFR
ESN_016	ESN_016	ESN	AFR
ESN_017	ESN_017	ESN	AFR
ESN_018	ESN_018	ESN	AFR
ESN_019	ESN_019	ESN	AFR
ESN_020	ESN_020	ESN	AFR
ESN_021	ESN_021	ESN	AFR
ESN_022	ESN_022	ESN	AFR
ESN_023	ESN_023	ESN	AFR
ESN_024	ESN_024	ESN	AFR
ESN_025	ESN_025	ESN	AFR
MXL_001	MXL_001	MXL	AMR
MXL_002	MXL_002	MXL	AMR
MXL_003	MXL_003	MXL	AMR
MXL_004	MXL_004	MXL	AMR
